MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,PRICE
8.3252,41,6.9841,1.0238,322,2.5556,37.88,-122.23,4.526
8.3014,21,6.2381,0.9719,2401,2.1098,37.86,-122.22,3.585
7.2574,52,8.2881,1.0734,496,2.8023,37.85,-122.24,3.521
5.6431,52,5.8174,1.0734,558,2.5479,37.84,-122.25,3.413
3.8462,52,6.2810,1.0811,565,2.1815,37.83,-122.26,3.422
4.0368,42,6.0836,1.0542,413,2.2426,37.85,-122.28,2.697
3.6591,52,6.0080,1.0234,1094,2.1270,37.85,-122.29,1.854
3.1200,52,5.0000,1.0200,850,2.1100,37.85,-122.30,2.234
2.8450,20,4.5000,0.9800,700,2.2000,37.80,-122.32,1.965
3.5000,25,6.2000,1.0500,900,2.3000,37.78,-122.33,2.540
